"provinsi","kabupaten_kota","kabkota","ibu_kota","bupati_wali_kota","luas_wilayah","jumlah_penduduk","kecamatan","total_kelurahan_desa"
"Lampung","Lampung Utara","Kabupaten","Kotabumi","Budi Utomo",2529.54,633099,23,247
"Lampung","Mesuji","Kabupaten","Wiralaga Mulya","Sulpakar (Pj.)",2205.57,227518,7,105
"Lampung","Pesawaran","Kabupaten","Gedong Tataan","Dendi Ramadhona",1278.21,477468,11,144
"Lampung","Pesisir Barat","Kabupaten","Krui","Agus Istiqlal",2988.07,162697,11,118
"Lampung","Pringsewu","Kabupaten","Pringsewu","Adi Erlansyah (Pj.)",614.48,405466,9,131
"Lampung","Tanggamus","Kabupaten","Kota Agung","Dewi Handajani",2900.29,640275,20,302
"Lampung","Tulang Bawang","Kabupaten","Menggala","Qodratul Ikhwan (Pj.)",3091.08,430021,15,151
"Lampung","Tulang Bawang Barat","Kabupaten","Panaragan Jaya","Zaidirina Wardoyo (Pj.)",1285.74,286162,9,96
"Lampung","Way Kanan","Kabupaten","Blambangan Umpu","Raden Adipati Surya",3657.49,473575,14,227
"Lampung","Bandar Lampung","Kota","Bandar Lampung","Eva Dwiana",183.31,1166066,20,126
"Lampung","Metro","Kota","Metro","Wahdi",73.15,168676,5,22
"Kepulauan Riau","Bangka","Kabupaten","Sungai Liat","Mulkan",3028.79,329911,8,81
"Kepulauan Riau","Bangka Barat","Kabupaten","Muntok","Sukirman",2884.15,204612,6,66
"Kepulauan Riau","Bangka Selatan","Kabupaten","Toboali","Riza Herdavid",3607.08,198189,8,53
"Kepulauan Riau","Bangka Tengah","Kabupaten","Koba","Algafry Rahman",2269.03,192429,6,63
"Kepulauan Riau","Belitung","Kabupaten","Tanjung Pandan","Sahani Saleh",2293.69,184004,5,49
"Kepulauan Riau","Belitung Timur","Kabupaten","Manggar","Burhanudin",2506.91,126939,7,39
"Kepulauan Riau","Pangkalpinang","Kota","Pangkalpinang","Maulan Aklil",104.41,218569,7,42
"Kepulauan Bangka Belitung","Bintan","Kabupaten","Bandar Seri Bentan","Roby Kurniawan",1317.15,185647,10,51
"Kepulauan Bangka Belitung","Karimun","Kabupaten","Tanjung Balai Karimun","Aunur Rafiq",930.45,291863,14,71
"Kepulauan Bangka Belitung","Kepulauan Anambas","Kabupaten","Tarempa","Abdul Haris",627.03,51034,9,54
"Kepulauan Bangka Belitung","Lingga","Kabupaten","Daik","M. Nizar",2210.82,123130,13,84
"Kepulauan Bangka Belitung","Natuna","Kabupaten","Ranai","Wan Siswandi",1999.16,91864,17,77
"Kepulauan Bangka Belitung","Batam","Kota","Batam","Muhammad Rudi",1034.73,1307082,12,64
"Kepulauan Bangka Belitung","Tanjungpinang","Kota","Tanjungpinang","Rahma",150.37,251708,4,18
"DKI Jakarta","Administrasi Kepulauan Seribu","Kabupaten","Pulau Pramuka","Junaedi",1018,27749,2,6
"DKI Jakarta","Administrasi Jakarta Barat","Kota","Kembangan","Yani Wahyu Purwoko",124.44,2434511,8,56
"DKI Jakarta","Administrasi Jakarta Pusat","Kota","Menteng","Dhany Sukma",52.38,1056896,8,44
"DKI Jakarta","Administrasi Jakarta Selatan","Kota","Kebayoran Baru","Munjirin",154.32,2226812,10,65
"DKI Jakarta","Administrasi Jakarta Timur","Kota","Cakung","Muhammad Anwar",182.7,3037139,10,65
"DKI Jakarta","Administrasi Jakarta Utara","Kota","Koja","Ali Maulana Hakim",139.99,1778981,6,31
"Jawa Barat","Bandung","Kabupaten","Soreang","Dadang Supriatna",1767.96,3623790,31,280
"Jawa Barat","Bandung Barat","Kabupaten","Ngamprah","Hengky Kurniawan",1305.77,1788336,16,165
"Jawa Barat","Bekasi","Kabupaten","Cikarang Pusat","Dani Ramdan (Pj.)",1224.88,3113071,23,187
"Jawa Barat","Bogor","Kabupaten","Cibinong","Iwan Setiawan (Plt.)",2710.62,5427068,40,435
"Jawa Barat","Ciamis","Kabupaten","Ciamis","Herdiat Sunarya",1414.71,1229069,27,265
"Jawa Barat","Cianjur","Kabupaten","Cianjur","Herman Suherman",3840.16,2477560,32,360
"Jawa Barat","Cirebon","Kabupaten","Sumber","Imron Rosyadi",984.52,2270621,40,424
"Jawa Barat","Garut","Kabupaten","Tarogong Kidul","Rudi Gunawan",3074.07,2585607,42,442
"Jawa Barat","Indramayu","Kabupaten","Indramayu","Nina Agustina",2040.11,1834434,31,317
"Jawa Barat","Karawang","Kabupaten","Karawang Barat","Cellica Nurrachadiana",1652.2,2439085,30,309
"Jawa Barat","Kuningan","Kabupaten","Kuningan","Acep Purnama",1110.56,1167686,32,376
"Jawa Barat","Majalengka","Kabupaten","Majalengka","Karna Sobahi",1204.24,1305476,26,343
"Jawa Barat","Pangandaran","Kabupaten","Parigi","Jeje Wiradinata",1010,423667,10,93
"Jawa Barat","Purwakarta","Kabupaten","Purwakarta","Anne Ratna Mustika",825.74,997869,17,192
"Jawa Barat","Subang","Kabupaten","Subang","Ruhimat",1893.95,1595320,30,253
"Jawa Barat","Sukabumi","Kabupaten","Palabuhanratu","Marwan Hamami",4145.7,2725450,47,386
"Jawa Barat","Sumedang","Kabupaten","Sumedang Utara","Dony Ahmad Munir",1518.33,1152507,26,277
"Jawa Barat","Tasikmalaya","Kabupaten","Singaparna","Ade Sugianto",2551.19,1865203,39,351
"Jawa Barat","Bandung","Kota","Bandung","Ema Sumarna (Plh.)",167.67,2444160,30,151
"Jawa Barat","Banjar","Kota","Banjar","Ade Uu Sukaesih",113.49,200973,4,25
"Jawa Barat","Bekasi","Kota","Bekasi","Tri Adhianto Tjahyono (Plt.)",206.61,2543676,12,56
"Jawa Barat","Bogor","Kota","Bogor","Bima Arya Sugiarto",118.5,1043070,6,68
"Jawa Barat","Cimahi","Kota","Cimahi","Dikdik Suratno Nugrahawan (Pj.)",39.27,568700,3,15
"Jawa Barat","Cirebon","Kota","Cirebon","Nasrudin Azis",37.36,333303,5,22
"Jawa Barat","Depok","Kota","Depok","Idris Abdul Shomad",200.29,2056335,11,63
"Jawa Barat","Sukabumi","Kota","Sukabumi","Achmad Fahmi",48.25,336325,7,33
"Jawa Barat","Tasikmalaya","Kota","Tasikmalaya","Cheka Virgowansyah (Pj.)",171.61,716155,10,69
"Jawa Tengah","Banjarnegara","Kabupaten","Banjarnegara","Tri Harso Widirahmanto (Pj.)",1023.73,1017767,20,278
"Jawa Tengah","Banyumas","Kabupaten","Purwokerto","Achmad Husein",1335.3,1776918,27,331
"Jawa Tengah","Batang","Kabupaten","Batang","Lani Dewi Rejeki (Pj.)",788.65,801718,15,248
"Jawa Tengah","Blora","Kabupaten","Blora","Arief Rohman",1821.59,884333,16,295
"Jawa Tengah","Boyolali","Kabupaten","Boyolali","Said Hidayat",1008.45,1062713,22,267
