"provinsi","kabupaten_kota","ibu_kota","bupati_wali_kota","luas_wilayah_diff_sources_and_years","jumlah_penduduk_diff_sources_and_years","kecamatan","kelurahan_desa"
"Jawa Tengah","Kabupaten Rembang","Rembang","Abdul Hafidz",887.13,645333,14,"7/287"
"Jawa Tengah","Kabupaten Semarang","Ungaran","Ngesti Nugraha",950.21,1053094,19,"27/208"
"Jawa Tengah","Kabupaten Sragen","Sragen","Kusdinar Untung Yuni Sukowati",941.54,976951,20,"12/196"
"Jawa Tengah","Kabupaten Sukoharjo","Sukoharjo","Etik Suryani",489.12,907587,12,"17/150"
"Jawa Tengah","Kabupaten Tegal","Slawi","Umi Azizah",876.1,1596996,18,"6/281"
"Jawa Tengah","Kabupaten Temanggung","Temanggung","Muhammad Al Khadziq",837.71,790174,20,"23/266"
"Jawa Tengah","Kabupaten Wonogiri","Wonogiri","Joko Sutopo",1793.67,1043177,25,"43/251"
"Jawa Tengah","Kabupaten Wonosobo","Wonosobo","Afif Nurhidayat",981.41,879124,15,"29/236"
"Jawa Tengah","Kota Magelang","-","Muhammad Nur Aziz",16.06,121526,3,"17/-"
"Jawa Tengah","Kota Pekalongan","-","Achmad Afzan Arslan Djunaid",45.25,307150,4,"27/-"
"Jawa Tengah","Kota Salatiga","-","Sinoeng Noegroho Rachmadi (Pj.)",57.36,192322,4,"23/-"
"Jawa Tengah","Kota Semarang","-","Hevearita Gunaryanti Rahayu",373.78,1653524,16,"177/-"
"Jawa Tengah","Kota Surakarta","-","Gibran Rakabuming Raka",46.01,522364,5,"51/-"
"Jawa Tengah","Kota Tegal","-","Dedy Yon Supriyono",39.68,273825,4,"27/-"
"DI Yogyakarta","Kabupaten Bantul","Bantul","Abdul Halim Muslih",506.86,985770,17,"-/75"
"DI Yogyakarta","Kabupaten Gunungkidul","Wonosari","Sunaryanta",1485.36,747161,18,"-/144"
"DI Yogyakarta","Kabupaten Kulon Progo","Wates","Tri Saktiyana (Pj.)",586.27,436935,12,"1/87"
"DI Yogyakarta","Kabupaten Sleman","Sleman","Kustini Sri Purnomo",574.82,1125804,17,"-/86"
"DI Yogyakarta","Kota Yogyakarta","-","Sumadi (Pj.)",32.5,373589,14,"45/-"
"Jawa Timur","Bangkalan","Bangkalan","Mohni (Plt.)",1001.44,1060377,18,"8/273"
"Jawa Timur","Banyuwangi","Banyuwangi","Ipuk Fiestiandani",5782.4,1708114,25,"28/189"
"Jawa Timur","Blitar","Kanigoro","Rini Syarifah",1336.48,1223745,22,"28/220"
"Jawa Timur","Bojonegoro","Bojonegoro","Anna Mu'awanah",2198.79,1301635,28,"11/419"
"Jawa Timur","Bondowoso","Bondowoso","Salwa Arifin",1525.97,776151,23,"10/209"
"Jawa Timur","Gresik","Gresik","Fandi Akhmad Yani",1191.25,1311215,18,"26/330"
"Jawa Timur","Jember","Jember","Hendy Siswanto",3092.34,2536729,31,"22/226"
"Jawa Timur","Jombang","Jombang","Mundjidah Wahab",1115.09,1318062,21,"4/302"
"Jawa Timur","Kediri","Ngasem","Hanindhito Himawan Pramana",1386.05,1635924,26,"1/343"
"Jawa Timur","Lamongan","Lamongan","Yuhronur Efendi",1782.05,1344165,27,"12/462"
"Jawa Timur","Lumajang","Lumajang","Thoriqul Haq",1790.9,1119251,21,"7/198"
"Jawa Timur","Madiun","Caruban","Ahmad Dawami Ragil Saputro",1037.58,744350,15,"8/198"
"Jawa Timur","Magetan","Magetan","Suprawoto",688.84,670812,18,"28/207"
"Jawa Timur","Malang","Kepanjen","Sanusi",3530.65,2654448,33,"12/378"
"Jawa Timur","Mojokerto","Mojosari","Ikfina Fahmawati",717.83,1119209,18,"5/299"
"Jawa Timur","Nganjuk","Nganjuk","Marhaen Djumadi",1224.25,1103902,20,"20/264"
"Jawa Timur","Ngawi","Ngawi","Ony Anwar Harsono",1295.98,870057,19,"4/213"
"Jawa Timur","Pacitan","Pacitan","Indrata Nur Bayuaji",1389.92,586110,12,"5/166"
"Jawa Timur","Pamekasan","Pamekasan","Baddrut Tamam",792.24,850057,13,"11/178"
"Jawa Timur","Pasuruan","Bangil","Irsyad Yusuf",1474.02,1605969,24,"24/341"
"Jawa Timur","Ponorogo","Ponorogo","Sugiri Sancoko",1305.7,949318,21,"26/281"
"Jawa Timur","Probolinggo","Kraksaan","Timbul Prihanjoko (Plt.)",1696.21,1152537,24,"5/325"
"Jawa Timur","Sampang","Sampang","Slamet Junaidi",1233.08,969694,14,"6/180"
"Jawa Timur","Sidoarjo","Sidoarjo","Ahmad Muhdlor Ali",634.38,2082801,18,"31/322"
"Jawa Timur","Situbondo","Situbondo","Karna Suswandi",1669.87,685967,17,"4/132"
"Jawa Timur","Sumenep","Sumenep","Achmad Fauzi",1998.54,1124436,27,"4/330"
